germany,82930000,,,uk,66490000,,,italy,60800000,,
Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
4.82E-08,4.82E-08,623,82,3.01E-08,3.01E-08,709,30,3.29E-08,3.29E-08,485,36
4.82E-08,4.82E-08,623,82,3.01E-08,3.01E-08,709,30,3.29E-08,3.29E-08,485,36
4.82E-08,4.82E-08,623,82,3.01E-08,3.01E-08,709,30,3.29E-08,3.29E-08,485,36
8.44E-08,8.44E-08,623,82,3.01E-08,3.01E-08,709,30,3.29E-08,3.29E-08,485,36
8.44E-08,8.44E-08,623,82,4.51E-08,4.51E-08,709,30,3.29E-08,3.29E-08,485,36
9.65E-08,9.65E-08,623,82,4.51E-08,4.51E-08,709,30,3.29E-08,3.29E-08,485,36
1.21E-07,1.21E-07,623,82,4.51E-08,4.51E-08,709,30,4.93E-08,4.93E-08,485,36
1.45E-07,1.45E-07,623,82,4.51E-08,4.51E-08,709,30,4.93E-08,4.93E-08,485,36
1.45E-07,1.45E-07,623,82,6.02E-08,6.02E-08,709,30,4.93E-08,4.93E-08,485,36
1.45E-07,1.45E-07,623,82,1.20E-07,1.20E-07,709,30,4.93E-08,4.93E-08,485,36
1.57E-07,1.57E-07,623,82,1.20E-07,1.20E-07,709,30,4.93E-08,4.93E-08,485,36
1.57E-07,1.57E-07,623,82,1.20E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.57E-07,1.57E-07,623,82,1.20E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.69E-07,1.69E-07,623,82,1.20E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.69E-07,1.69E-07,623,82,1.50E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.93E-07,1.93E-07,623,82,1.50E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.93E-07,1.93E-07,623,82,1.50E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.93E-07,1.93E-07,623,82,1.50E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
1.93E-07,1.93E-07,623,82,1.50E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
8.44E-08,1.93E-07,623,82,1.50E-07,1.35E-07,709,30,4.93E-08,4.93E-08,485,36
8.44E-08,1.93E-07,623,82,7.52E-08,1.96E-07,709,30,5.10E-07,5.43E-07,485,36
8.44E-08,1.93E-07,623,82,7.52E-08,1.96E-07,709,30,0.00000125,1.30E-06,485,36
8.44E-08,1.93E-07,623,82,7.52E-08,1.96E-07,709,30,3.63E-06,3.78E-06,485,36
8.44E-08,1.93E-07,623,82,7.52E-08,1.96E-07,709,30,3.67E-06,3.82E-06,485,36
8.44E-08,1.93E-07,623,82,1.20E-07,2.41E-07,709,30,5.94E-06,6.15E-06,485,36
2.41E-08,1.93E-07,623,82,2.26E-07,3.46E-07,709,30,7.48E-06,7.73E-06,485,36
2.41E-08,1.93E-07,623,82,4.06E-07,5.26E-07,709,30,9.72E-06,1.07E-05,485,36
6.03E-08,2.29E-07,623,82,4.21E-07,5.41E-07,709,30,1.35E-05,1.46E-05,485,36
1.57E-07,3.26E-07,623,82,4.81E-07,6.02E-07,709.66,30,1.73E-05,1.86E-05,485.107,36
4.10E-07,5.79E-07,623,82,6.77E-07,7.97E-07,709.66,30,2.61E-05,2.82E-05,485.107,36
6.75E-07,8.68E-07,623,82,1.19E-06,1.31E-06,709.66,30,3.10E-05,3.43E-05,485.107,36
1.22E-06,1.41E-06,623,82,1.61E-06,1.74E-06,709.66,30,3.79E-05,0.000041875,485.107,36
1.37E-06,1.57E-06,623,82,2.32E-06,2.47E-06,709.66,30,4.54E-05,5.17E-05,485.107,36
2.07E-06,2.27E-06,623,82,3.81E-06,4.11E-06,709.66,30,5.53E-05,6.46E-05,485.107,36
2.70E-06,2.89E-06,623,82,4.48E-06,4.80E-06,709.66,30,6.51E-05,7.70E-05,485.107,36
4.03E-06,4.23E-06,623,82,4.48E-06,4.83E-06,709.66,30,8.54E-05,9.89E-05,485.107,36
6.61E-06,6.81E-06,623,82,5.40E-06,5.76E-06,709.66,30,0.000105855,0.000122105,485.107,36
7.87E-06,8.08E-06,623,82,8.45E-06,8.87E-06,709.66,30,0.000132122,0.000151645,485.107,36
1.11E-05,1.13E-05,623,82,8.54E-06,8.96E-06,709.66,30,0.000142237,0.000169128,485.107,36
1.37E-05,1.39E-05,623,82,1.16E-05,1.20E-05,709.66,30,0.000174178,0.000204967,485.107,36
1.45E-05,1.48E-05,623,82,1.66E-05,1.72E-05,709.66,30,0.000215641,0.000253043,485.107,36
1.86E-05,1.89E-05,623,82,2.82E-05,2.93E-05,709.66,30,0.00024597,0.000290461,485.107,36
2.47E-05,2.51E-05,623,82,3.81E-05,3.95E-05,709.66,30,0.000291941,0.000347977,485.107,36
3.28E-05,3.32E-05,623,82,4.60E-05,4.92E-05,709.66,30,0.00037949,0.000460197,485.107,36